epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8884,1.14644,1.47605,1.18878,0.39071,0.48333,0.3916,0.24804,1.55241,2.05465,1.38967,0.00023331,0.00023331,0.00023331
2,184.502,1.1728,1.47262,1.18094,0.36325,0.3656,0.37398,0.23189,1.61375,2.10958,1.36903,0.000430435,0.000430435,0.000430435
3,270.781,1.1928,1.45244,1.19397,0.58249,0.34824,0.38923,0.24651,1.48365,1.90348,1.34586,0.000579164,0.000579164,0.000579164
4,346.926,1.17504,1.45761,1.21317,0.68267,0.36492,0.37577,0.22026,1.69474,1.96412,1.54008,0.000679499,0.000679499,0.000679499
5,426.947,1.19931,1.44714,1.22824,0.3301,0.37673,0.33438,0.21323,1.4789,1.92578,1.49212,0.000671044,0.000671044,0.000671044
6,501.185,1.22382,1.38328,1.20034,0.32001,0.34147,0.30088,0.1946,1.58332,2.10668,1.44679,0.000561055,0.000561055,0.000561055
7,574.624,1.16841,1.38829,1.19451,0.37498,0.43064,0.30137,0.20469,1.58866,2.16149,1.45458,0.000451066,0.000451066,0.000451066
8,652.607,1.16718,1.34527,1.18445,0.32599,0.36147,0.31526,0.21869,1.41725,1.90046,1.42483,0.000341077,0.000341077,0.000341077
9,732.132,1.14436,1.32085,1.1761,0.33715,0.41324,0.35855,0.2459,1.38745,1.7865,1.43277,0.000231088,0.000231088,0.000231088
10,808.01,1.10636,1.25137,1.15367,0.36575,0.42729,0.37986,0.24944,1.42057,1.86528,1.43768,0.000121099,0.000121099,0.000121099
