epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0503,1.99117,3.56069,1.68739,0.00402,0.21667,0.1035,0.05891,1.93603,3.81311,1.59631,0.000361721,0.000361721,0.000361721
2,127.922,1.79209,2.76443,1.5433,0.93892,0.17381,0.19562,0.14736,1.80265,2.91023,1.51899,0.000695818,0.000695818,0.000695818
3,186.575,1.70824,2.37465,1.44833,0.75529,0.18837,0.17458,0.09903,1.83875,3.0093,1.51618,0.000993251,0.000993251,0.000993251
4,237.403,1.72056,2.27897,1.43219,0.51865,0.29524,0.19387,0.11088,1.98327,4.85067,1.55571,0.000946016,0.000946016,0.000946016
5,293.306,1.65237,2.08316,1.39882,0.20795,0.4119,0.27546,0.16321,1.75097,3.744,1.47843,0.000891022,0.000891022,0.000891022
6,343.105,1.61797,2.10999,1.38479,0.44947,0.28333,0.26796,0.14855,1.85798,2.43443,1.59653,0.000836027,0.000836027,0.000836027
7,392.112,1.60084,2.01361,1.35859,0.85444,0.20476,0.23756,0.1453,1.83194,2.38578,1.51536,0.000781033,0.000781033,0.000781033
8,452.484,1.49696,1.86699,1.30459,0.8368,0.22143,0.22872,0.12965,1.81362,2.52861,1.52611,0.000726038,0.000726038,0.000726038
9,511.836,1.52094,1.88207,1.31134,0.85169,0.23571,0.26066,0.15618,1.75112,2.23792,1.4861,0.000671044,0.000671044,0.000671044
10,573.427,1.46599,1.83961,1.29577,0.87725,0.23571,0.27116,0.17366,1.6908,2.12364,1.43501,0.000616049,0.000616049,0.000616049
11,626.545,1.53181,2.09061,1.31996,0.81624,0.23571,0.27113,0.17955,1.55667,2.14649,1.34898,0.000561055,0.000561055,0.000561055
12,696.134,1.43584,1.97617,1.26041,0.80583,0.23956,0.29791,0.18531,1.52573,2.2062,1.34055,0.00050606,0.00050606,0.00050606
13,761.009,1.38931,1.903,1.28189,0.40404,0.32416,0.27363,0.14611,1.58053,2.26446,1.41151,0.000451066,0.000451066,0.000451066
14,819.379,1.37908,1.85483,1.26593,0.41964,0.33333,0.27024,0.16875,1.61748,2.12829,1.39504,0.000396071,0.000396071,0.000396071
15,871.233,1.41916,1.84292,1.27403,0.40413,0.30449,0.27983,0.18238,1.58874,2.13749,1.37538,0.000341077,0.000341077,0.000341077
16,932.92,1.32629,1.77646,1.2101,0.85904,0.26667,0.31526,0.18078,1.66294,2.1429,1.43071,0.000286083,0.000286083,0.000286083
17,991.675,1.3147,1.73981,1.19764,0.44404,0.35248,0.31596,0.19342,1.62777,2.128,1.39949,0.000231088,0.000231088,0.000231088
18,1044.46,1.31125,1.68912,1.2047,0.45858,0.35952,0.31633,0.1985,1.56251,2.07332,1.3517,0.000176094,0.000176094,0.000176094
19,1102.88,1.2631,1.65873,1.16691,0.48636,0.34286,0.32128,0.2026,1.52249,2.04578,1.33608,0.000121099,0.000121099,0.000121099
20,1156.09,1.24542,1.64357,1.20477,0.4629,0.3619,0.32651,0.20655,1.53498,2.04131,1.34058,6.61045e-05,6.61045e-05,6.61045e-05
