epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,265.499,1.27265,2.25238,1.29029,1,0.18184,0.39883,0.22457,1.92367,3.14665,1.61012,0.000272599,0.000272599,0.000272599
44,269.854,1.11916,1.93142,1.21123,1,0.18184,0.39883,0.22457,1.92367,3.14665,1.61012,0.00027436,0.00027436,0.00027436
45,274.482,1.18926,2.1617,1.17109,1,0.18596,0.39851,0.18529,1.94554,3.17411,1.67966,0.000275901,0.000275901,0.000275901
46,279.321,1.04521,1.95575,1.24912,1,0.18596,0.39851,0.18529,1.94554,3.17411,1.67966,0.000277222,0.000277222,0.000277222
47,283.902,1.25706,2.08369,1.33509,1,0.1878,0.39852,0.20686,1.83134,3.12685,1.64257,0.000278323,0.000278323,0.000278323
48,288.367,1.1015,1.89035,1.22851,1,0.1878,0.39852,0.20686,1.83134,3.12685,1.64257,0.000279204,0.000279204,0.000279204
49,292.947,1.33392,1.97493,1.36812,1,0.18809,0.39843,0.22415,1.78507,3.15093,1.61331,0.000279865,0.000279865,0.000279865
50,297.678,1.24439,2.14366,1.29225,1,0.18809,0.39843,0.22415,1.78507,3.15093,1.61331,0.000280306,0.000280306,0.000280306
51,303.864,1.43873,2.33308,1.38819,0.98638,0.1,0.31551,0.15448,1.84145,3.19599,1.64057,0.000280527,0.000280527,0.000280527
52,308.92,1.03479,1.80779,1.1772,0.98638,0.1,0.31551,0.15448,1.84145,3.19599,1.64057,0.000280529,0.000280529,0.000280529
53,314.617,1.12934,1.99961,1.27541,0.98638,0.1,0.31551,0.15448,1.84145,3.19599,1.64057,0.00028031,0.00028031,0.00028031
54,319.682,1.14761,1.9542,1.23149,0.98799,0.1,0.3051,0.15303,1.90323,3.20094,1.65147,0.000279871,0.000279871,0.000279871
55,325.333,1.25878,2.09393,1.33138,0.98799,0.1,0.3051,0.15303,1.90323,3.20094,1.65147,0.000279212,0.000279212,0.000279212
56,330.026,0.97528,1.74943,1.20117,0.98799,0.1,0.3051,0.15303,1.90323,3.20094,1.65147,0.000278333,0.000278333,0.000278333
57,334.837,1.25496,1.96237,1.18416,0.9289,0.1867,0.30247,0.16086,1.87213,3.19826,1.6717,0.000277234,0.000277234,0.000277234
58,339.532,1.03175,1.82839,1.20407,0.9289,0.1867,0.30247,0.16086,1.87213,3.19826,1.6717,0.000275916,0.000275916,0.000275916
59,344.403,1.03533,1.79303,1.20111,0.9289,0.1867,0.30247,0.16086,1.87213,3.19826,1.6717,0.000274377,0.000274377,0.000274377
60,355.848,1.02559,1.79647,1.23436,0.91838,0.2,0.30572,0.18206,1.81165,3.16849,1.62658,0.000272618,0.000272618,0.000272618
61,360.976,0.96125,1.63122,1.22524,0.91838,0.2,0.30572,0.18206,1.81165,3.16849,1.62658,0.00027064,0.00027064,0.00027064
62,365.624,1.2521,1.75785,1.20151,0.91838,0.2,0.30572,0.18206,1.81165,3.16849,1.62658,0.000268441,0.000268441,0.000268441
63,370.494,1.10597,1.70225,1.22848,1,0.19262,0.37373,0.21257,1.78769,3.13274,1.61325,0.000266022,0.000266022,0.000266022
64,375.088,1.13654,1.73186,1.14806,1,0.19262,0.37373,0.21257,1.78769,3.13274,1.61325,0.000263384,0.000263384,0.000263384
65,379.664,1.09774,1.73029,1.24058,1,0.19262,0.37373,0.21257,1.78769,3.13274,1.61325,0.000260525,0.000260525,0.000260525
66,384.36,0.96903,1.58861,1.20346,1,0.19408,0.39185,0.22564,1.78353,3.11607,1.61265,0.000257446,0.000257446,0.000257446
67,389.017,0.94299,1.73658,1.20891,1,0.19408,0.39185,0.22564,1.78353,3.11607,1.61265,0.000254148,0.000254148,0.000254148
68,393.923,1.10319,1.64664,1.14811,1,0.19408,0.39185,0.22564,1.78353,3.11607,1.61265,0.000250629,0.000250629,0.000250629
69,398.537,1.08745,1.65692,1.24092,1,0.19663,0.34158,0.21276,1.5961,3.03291,1.55987,0.000246891,0.000246891,0.000246891
70,403.074,0.88303,1.61258,1.13847,1,0.19663,0.34158,0.21276,1.5961,3.03291,1.55987,0.000242932,0.000242932,0.000242932
71,407.616,1.01562,1.63126,1.23839,1,0.19663,0.34158,0.21276,1.5961,3.03291,1.55987,0.000238754,0.000238754,0.000238754
72,412.189,1.00124,1.62327,1.18553,1,0.19839,0.34067,0.21651,1.72262,3.06446,1.62991,0.000234355,0.000234355,0.000234355
73,416.77,0.94434,1.45349,1.1432,1,0.19839,0.34067,0.21651,1.72262,3.06446,1.62991,0.000229737,0.000229737,0.000229737
74,421.551,1.01486,1.59468,1.13247,1,0.19839,0.34067,0.21651,1.72262,3.06446,1.62991,0.000224899,0.000224899,0.000224899
75,426.731,1.10538,1.54741,1.19358,1,0.19983,0.34183,0.2219,1.7362,3.00572,1.63063,0.00021984,0.00021984,0.00021984
76,431.419,0.95557,1.52348,1.17846,1,0.19983,0.34183,0.2219,1.7362,3.00572,1.63063,0.000214562,0.000214562,0.000214562
77,436.109,0.92326,1.59993,1.10247,1,0.19983,0.34183,0.2219,1.7362,3.00572,1.63063,0.000209064,0.000209064,0.000209064
78,440.766,0.9814,1.51464,1.08125,0.99912,0.2,0.36833,0.22405,1.7211,2.9703,1.57017,0.000203345,0.000203345,0.000203345
79,445.316,1.0942,1.50837,1.09386,0.99912,0.2,0.36833,0.22405,1.7211,2.9703,1.57017,0.000197407,0.000197407,0.000197407
